Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,7.512000,7.558000,7.450000,7.526000,7.526000,17502790
2019-02-04,7.535000,7.572000,7.405000,7.460000,7.460000,12935418
2019-02-05,7.464000,7.609000,7.435000,7.609000,7.609000,15434643
